rainfall_intensity_mmh,accumulated_rain_2h_mm,elevation_m,depression_depth_m,impervious_percent,upstream_node_surcharge_m3s,pipe_capacity_ratio,road_slope_percent,flood_depth_cm
36.3,63.8,893.5,2.2,77.3,0.17,0.7,3.75,7.4
6.7,27.0,894.5,2.2,92.0,0.0,1.0,4.94,1.0
41.1,82.5,892.6,2.2,73.2,0.48,1.0,0.5,8.5
17.1,53.6,899.9,0.1,67.7,0.0,0.7,3.36,1.8
96.6,194.1,901.0,0.0,81.3,0.0,0.7,3.22,14.5
5.2,27.0,897.1,2.2,81.8,0.0,1.0,0.39,0.0
14.6,36.4,893.5,2.2,75.4,0.18,1.0,2.92,1.0
4.2,20.5,903.4,0.0,77.0,0.0,0.5,3.43,2.0
90.5,201.5,894.0,2.2,93.6,0.0,0.85,1.21,15.9
73.4,114.0,889.0,2.2,85.6,0.4,0.5,1.65,17.0
10.4,27.4,898.8,1.2,63.9,0.0,1.0,3.59,0.5
37.8,97.0,892.6,2.2,67.4,0.45,1.0,2.68,4.6
59.5,148.7,901.0,0.0,94.1,1.09,1.0,4.75,11.6
28.4,53.3,895.5,2.2,85.4,0.0,1.0,2.01,3.7
26.4,43.6,899.4,0.6,92.0,0.0,0.5,1.61,5.9
9.7,32.2,902.6,0.0,70.6,0.0,0.3,5.42,4.0
3.4,29.1,892.2,2.2,86.0,0.0,0.3,5.03,2.2
79.6,141.7,894.7,2.2,85.0,0.87,0.5,0.35,24.6
80.7,172.4,896.7,2.2,70.3,1.08,0.7,4.28,20.0
35.1,46.6,903.2,0.0,79.3,0.0,0.7,0.78,5.1
14.5,51.1,894.4,2.2,82.0,0.0,0.7,0.35,3.7
15.0,34.3,894.6,2.2,76.8,0.0,1.0,1.65,1.1
45.3,102.5,898.9,1.1,89.0,0.0,0.85,1.63,7.4
79.6,168.7,894.7,2.2,89.2,0.0,0.85,4.54,10.3
76.3,198.1,897.6,2.2,89.8,0.32,0.5,3.97,22.4
53.0,100.0,890.8,2.2,88.1,0.0,0.7,5.4,8.4
36.0,74.3,905.9,0.0,77.1,0.0,0.7,3.97,4.2
3.1,10.8,891.6,2.2,73.4,0.0,0.85,2.42,2.1
6.2,28.4,895.7,2.2,89.1,0.08,0.7,3.9,2.3
80.1,163.7,896.9,2.2,77.2,1.65,0.3,5.5,30.0
32.6,106.7,904.7,0.0,68.6,0.0,1.0,3.96,0.6
0.3,8.0,891.7,2.2,77.8,0.0,0.5,4.24,0.0
3.7,17.0,904.9,0.0,65.0,0.0,0.85,5.17,0.2
38.1,61.6,900.0,0.0,84.2,0.0,0.85,0.8,6.0
0.2,15.5,898.7,1.3,71.8,0.0,0.5,3.94,0.0
6.1,45.0,893.1,2.2,69.1,0.0,0.85,4.71,2.8
27.8,40.9,899.3,0.7,93.5,0.12,0.85,5.26,3.8
41.2,81.1,894.1,2.2,87.2,0.0,0.85,1.32,5.0
36.9,76.8,902.1,0.0,87.5,0.59,1.0,2.87,6.0
8.9,35.2,893.1,2.2,81.8,0.0,0.85,3.81,0.2
43.6,101.2,896.5,2.2,89.4,0.0,1.0,1.51,4.0
9.5,36.2,894.8,2.2,86.6,0.0,0.5,3.38,2.3
13.8,40.2,893.0,2.2,81.0,0.0,1.0,1.57,0.0
48.0,72.3,900.0,0.0,93.6,0.0,0.85,1.97,6.9
36.7,89.6,899.1,0.9,66.7,0.0,0.5,2.54,8.3
66.2,113.7,901.8,0.0,93.0,0.3,0.5,3.0,13.8
37.5,85.9,889.9,2.2,74.1,0.0,0.7,2.58,6.8
29.4,67.7,901.3,0.0,78.5,0.0,0.85,2.81,2.5
3.4,12.5,907.0,0.0,64.3,0.0,1.0,1.78,0.0
16.0,29.1,895.2,2.2,78.9,0.0,0.85,1.04,5.3
10.8,50.1,904.6,0.0,81.4,0.0,1.0,0.45,1.0
9.8,59.4,895.9,2.2,94.9,0.0,0.7,1.24,2.8
126.4,146.5,891.5,2.2,94.1,1.5,1.0,3.28,20.0
17.5,20.6,895.8,2.2,93.8,0.0,0.7,4.37,1.0
77.9,118.0,901.2,0.0,72.2,1.03,0.85,1.1,15.1
34.9,73.9,893.6,2.2,94.7,0.0,0.85,0.78,7.5
55.4,56.4,894.6,2.2,75.9,0.9,0.85,4.17,11.8
24.4,70.4,899.4,0.6,89.8,0.0,0.7,1.82,3.7
30.1,44.8,897.0,2.2,67.6,0.55,1.0,5.24,7.0
23.7,57.4,899.3,0.7,77.7,0.0,0.85,3.99,3.3
7.6,22.2,898.0,2.0,93.8,0.0,1.0,1.93,1.5
44.9,84.4,898.9,1.1,93.1,0.0,1.0,1.73,4.8
11.5,44.4,895.3,2.2,83.9,0.0,0.85,2.98,0.4
0.9,36.3,897.9,2.1,87.9,0.0,1.0,0.62,0.0
36.3,93.8,893.3,2.2,66.2,0.41,1.0,0.82,5.8
6.8,28.3,902.2,0.0,85.3,0.0,0.5,1.13,2.9
98.7,236.8,894.5,2.2,81.6,0.56,0.85,4.31,15.1
107.7,245.7,901.5,0.0,63.2,0.0,1.0,2.92,6.0
86.2,165.2,896.1,2.2,64.0,0.0,1.0,0.26,10.8
16.2,35.5,897.8,2.2,63.8,0.0,1.0,3.77,2.0
0.5,11.8,895.0,2.2,85.4,0.0,0.85,2.45,0.0
92.2,103.1,892.9,2.2,65.0,0.73,0.7,2.91,14.5
19.6,60.6,890.0,2.2,76.4,0.0,0.85,1.33,4.6
119.0,198.3,892.8,2.2,72.5,0.0,1.0,3.12,8.8
116.0,164.6,895.7,2.2,79.3,2.0,0.85,5.39,25.8
67.1,169.3,897.8,2.2,84.7,0.84,0.85,0.59,16.2
12.2,59.2,901.0,0.0,84.0,0.0,0.85,1.7,2.2
17.0,71.9,895.2,2.2,78.0,0.0,0.7,1.49,4.7
66.7,93.2,893.5,2.2,76.3,0.53,1.0,1.52,10.1
13.3,59.7,891.2,2.2,73.9,0.0,1.0,2.21,1.9
6.5,20.5,898.9,1.1,90.2,0.0,0.5,4.54,2.2
28.5,52.5,902.5,0.0,71.6,0.0,1.0,5.04,2.6
96.3,103.9,902.1,0.0,69.1,0.0,1.0,1.27,6.5
41.7,55.1,899.8,0.2,86.0,0.0,0.7,3.08,4.1
29.5,70.2,899.6,0.4,72.6,0.0,0.7,3.58,4.9
3.6,24.8,903.8,0.0,89.6,0.0,0.7,2.97,0.7
33.4,42.6,898.3,1.7,71.5,0.0,1.0,2.5,1.6
140.0,250.0,899.6,0.4,84.6,0.0,0.85,1.22,16.0
5.3,35.0,895.7,2.2,61.6,0.0,1.0,2.79,0.6
25.6,30.8,891.6,2.2,73.5,0.0,0.85,2.33,3.1
73.5,141.7,894.3,2.2,72.0,1.08,1.0,4.42,13.3
47.3,60.8,897.0,2.2,88.6,0.0,0.7,4.25,8.0
41.8,76.0,897.2,2.2,93.8,0.0,1.0,0.91,5.7
42.4,75.2,904.7,0.0,76.1,0.0,1.0,0.67,3.4
15.6,35.5,897.3,2.2,88.9,0.0,0.85,5.01,2.2
12.2,25.9,901.7,0.0,84.5,0.0,0.3,3.04,4.0
58.0,103.6,895.3,2.2,93.9,0.33,0.5,4.75,14.6
58.1,158.5,895.8,2.2,88.4,0.0,0.3,0.51,21.7
70.6,116.2,891.7,2.2,62.7,0.0,0.85,2.99,9.7
85.6,157.2,894.0,2.2,85.0,0.0,1.0,3.06,7.6
25.1,60.4,899.1,0.9,78.7,0.0,1.0,4.76,3.4
24.4,86.3,897.0,2.2,60.6,0.0,0.7,0.72,4.4
56.0,121.3,900.8,0.0,68.8,0.0,1.0,1.47,4.3
36.7,62.3,897.7,2.2,92.3,0.67,1.0,2.35,9.4
42.4,103.2,895.6,2.2,92.4,0.0,1.0,4.79,2.2
55.6,138.7,905.6,0.0,88.0,0.0,0.85,5.18,7.1
77.3,127.8,896.6,2.2,94.4,0.52,1.0,5.46,11.3
14.4,20.3,901.7,0.0,88.2,0.0,1.0,5.28,1.4
16.5,19.1,895.4,2.2,60.4,0.0,0.85,0.23,2.8
3.5,31.7,899.8,0.2,70.1,0.0,0.85,0.45,1.0
30.2,66.4,900.7,0.0,61.1,0.24,0.85,0.98,3.3
1.3,21.4,897.8,2.2,63.3,0.0,0.7,2.05,0.0
21.9,57.1,889.0,2.2,67.7,0.0,1.0,4.6,1.1
27.4,51.0,897.1,2.2,77.6,0.0,0.7,4.93,4.6
11.8,49.4,901.9,0.0,89.7,0.0,1.0,1.19,0.3
31.3,101.7,899.1,0.9,90.2,0.0,0.85,3.48,2.4
1.1,30.1,898.8,1.2,81.6,0.0,0.85,5.06,0.0
1.3,4.3,890.1,2.2,92.5,0.0,0.3,2.66,0.0
60.5,103.1,894.1,2.2,77.5,0.46,0.85,0.75,12.9
15.6,48.4,898.6,1.4,91.1,0.0,1.0,2.63,0.9
4.8,10.4,898.6,1.4,75.9,0.0,0.85,2.19,0.1
25.9,83.7,901.9,0.0,69.7,0.0,0.85,3.26,2.1
51.4,85.8,896.4,2.2,92.1,0.76,0.85,2.52,11.7
8.5,27.5,898.6,1.4,73.6,0.0,1.0,0.29,0.2
34.1,50.1,897.1,2.2,77.6,0.17,0.85,5.47,5.7
3.1,30.6,893.1,2.2,71.5,0.0,1.0,3.08,0.6
1.9,7.4,889.0,2.2,83.2,0.0,0.7,2.71,0.0
26.5,73.3,898.7,1.3,94.8,0.0,0.85,5.26,4.7
27.2,64.0,897.7,2.2,60.9,0.0,1.0,1.03,2.6
35.5,112.8,894.5,2.2,91.5,0.0,0.5,1.2,11.3
45.3,54.4,890.5,2.2,60.1,0.0,0.85,4.48,2.6
130.3,250.0,899.5,0.5,72.7,0.0,1.0,1.58,9.3
25.4,69.0,895.9,2.2,65.9,0.0,1.0,4.44,2.2
13.7,29.5,899.2,0.8,86.5,0.0,0.85,1.64,3.1
55.5,79.9,904.5,0.0,61.8,0.0,0.85,0.38,3.8
11.1,10.9,889.0,2.2,79.4,0.0,0.5,2.94,4.0
20.2,74.5,894.2,2.2,70.3,0.0,1.0,1.24,2.6
2.9,25.2,896.2,2.2,64.7,0.0,1.0,4.22,0.0
0.9,13.1,902.8,0.0,87.0,0.0,0.5,3.6,0.0
115.1,205.4,890.5,2.2,67.6,0.43,0.3,5.1,30.4
63.3,75.7,904.7,0.0,67.8,0.0,1.0,4.35,5.1
41.7,106.6,897.5,2.2,69.6,0.0,0.7,1.16,8.2
18.4,25.6,896.6,2.2,80.5,0.0,1.0,4.44,1.7
6.7,39.2,896.2,2.2,83.1,0.0,0.7,3.6,0.9
6.0,29.3,895.3,2.2,60.6,0.0,0.5,3.75,3.6
10.1,52.8,901.2,0.0,68.5,0.0,1.0,4.61,0.0
27.9,45.8,892.7,2.2,75.1,0.0,1.0,3.24,3.2
43.9,78.7,898.4,1.6,71.6,0.0,1.0,2.67,4.9
37.8,92.1,895.5,2.2,90.9,0.0,1.0,3.57,3.8
11.5,42.6,894.0,2.2,87.6,0.0,1.0,1.78,2.2
108.4,121.2,907.3,0.0,81.9,0.0,0.7,1.17,14.4
46.9,50.8,898.7,1.3,71.8,0.97,1.0,3.47,9.6
28.3,49.7,899.5,0.5,84.5,0.0,0.85,1.44,3.1
33.1,78.4,901.6,0.0,89.5,0.0,0.7,0.62,5.5
19.0,45.2,891.3,2.2,80.8,0.0,0.85,0.2,2.9
10.0,34.0,904.0,0.0,87.5,0.0,0.85,3.42,0.7
15.4,29.1,889.0,2.2,86.2,0.0,1.0,2.12,2.0
49.6,130.4,893.9,2.2,80.0,0.76,0.85,4.19,11.1
0.5,38.7,895.2,2.2,70.9,0.0,1.0,2.19,0.0
4.3,26.5,899.3,0.7,86.1,0.0,0.7,2.78,0.0
1.6,16.5,897.9,2.1,67.2,0.0,1.0,2.36,0.0
1.5,11.1,896.3,2.2,87.3,0.02,0.7,3.65,0.0
67.7,144.5,897.0,2.2,88.2,0.0,0.85,2.09,8.7
42.6,51.9,893.1,2.2,88.8,0.0,0.85,5.31,4.9
22.5,73.6,891.0,2.2,76.6,0.0,1.0,5.16,-0.0
3.6,27.7,899.9,0.1,66.7,0.0,1.0,4.69,0.0
23.7,74.3,899.8,0.2,63.5,0.0,0.5,5.08,6.8
22.5,34.8,903.3,0.0,86.0,0.0,1.0,2.58,1.4
6.7,37.5,893.8,2.2,91.0,0.0,1.0,3.04,2.5
19.9,46.9,899.8,0.2,82.8,0.0,0.85,4.13,2.8
17.8,38.8,895.9,2.2,65.0,0.0,0.7,3.89,3.3
33.5,68.3,901.8,0.0,92.7,0.0,0.85,4.92,3.0
35.3,94.4,901.1,0.0,94.6,0.67,0.7,4.0,10.2
1.6,21.4,897.8,2.2,75.2,0.0,0.85,5.49,0.0
16.4,57.8,895.6,2.2,80.8,0.0,1.0,2.05,0.6
34.4,68.5,900.8,0.0,87.2,0.43,0.85,4.61,7.2
24.5,47.1,899.6,0.4,85.8,0.0,0.7,3.9,4.6
67.9,67.1,894.3,2.2,93.9,1.07,0.3,3.86,19.5
37.6,82.2,891.7,2.2,64.0,0.0,1.0,1.93,2.4
6.2,34.9,895.8,2.2,80.3,0.0,0.7,4.36,2.2
2.6,11.2,903.1,0.0,84.2,0.0,0.85,4.97,0.0
36.0,63.1,901.6,0.0,91.2,0.0,1.0,1.36,4.3
0.9,40.6,892.6,2.2,90.6,0.0,0.85,3.52,0.0
30.8,86.3,892.3,2.2,94.2,0.58,1.0,2.28,5.7
98.6,142.4,902.1,0.0,77.9,1.83,0.85,5.44,20.7
30.0,94.0,892.5,2.2,89.1,0.0,1.0,2.74,3.2
17.2,61.5,899.0,1.0,75.0,0.0,0.85,1.41,2.5
36.1,77.9,894.5,2.2,74.8,0.0,0.85,2.22,3.7
21.5,50.0,903.5,0.0,68.9,0.0,0.85,3.67,3.4
27.6,65.9,893.9,2.2,88.6,0.0,0.85,0.6,3.2
99.3,113.4,901.6,0.0,94.5,0.0,1.0,3.4,7.0
17.1,37.1,897.7,2.2,69.0,0.0,0.85,5.14,1.9
113.7,176.5,898.0,2.0,62.0,0.0,0.5,4.71,17.5
82.5,167.2,889.1,2.2,88.5,0.0,1.0,0.56,12.3
7.6,20.7,889.0,2.2,81.7,0.0,0.85,5.46,0.0
2.5,38.3,896.1,2.2,93.6,0.0,0.85,3.9,2.5
3.7,32.0,898.0,2.0,68.8,0.0,0.85,1.06,2.0
0.6,26.0,892.5,2.2,62.5,0.0,0.85,0.27,0.0
3.5,7.5,892.6,2.2,77.2,0.07,0.85,1.11,2.8
40.2,102.9,899.2,0.8,63.0,0.0,1.0,4.64,2.5
2.6,7.1,899.3,0.7,69.2,0.0,0.85,0.31,0.0
13.4,21.8,896.4,2.2,64.4,0.0,0.85,1.44,1.5
65.2,88.6,900.1,0.0,67.8,0.0,1.0,4.21,3.4
0.8,17.8,892.3,2.2,63.7,0.0,0.85,3.31,0.0
59.0,116.7,895.6,2.2,93.4,0.46,0.7,4.35,13.1
11.6,16.6,903.6,0.0,69.7,0.14,0.7,4.15,1.9
4.4,23.9,897.3,2.2,75.5,0.0,1.0,0.47,0.0
41.8,83.2,897.5,2.2,91.5,0.0,0.3,4.93,11.0
34.7,113.8,906.2,0.0,83.7,0.0,0.85,1.4,5.3
